Datetime,symbol,price,volume
2021-07-09 11:51:00-04:00,GOOGL,2508.219970703125,940
2021-07-09 11:51:00-04:00,MSFT,277.4800109863281,26974
2021-07-09 11:52:00-04:00,GOOGL,2507.949951171875,3150
2021-07-09 11:52:00-04:00,MSFT,277.5299987792969,33300
2021-07-09 11:53:00-04:00,GOOGL,2507.989990234375,2280
2021-07-09 11:53:00-04:00,MSFT,277.4200134277344,27606
2021-07-09 11:54:00-04:00,GOOGL,2507.110107421875,314
2021-07-09 11:54:00-04:00,MSFT,277.32000732421875,36200
2021-07-09 11:55:00-04:00,GOOGL,2505.4599609375,2199
2021-07-09 11:55:00-04:00,MSFT,277.3577880859375,42350
2021-07-09 11:56:00-04:00,GOOGL,2506.719970703125,2204
2021-07-09 11:56:00-04:00,MSFT,277.34991455078125,20935
2021-07-09 11:57:00-04:00,GOOGL,2507.02001953125,3042
2021-07-09 11:57:00-04:00,MSFT,277.32000732421875,34350
2021-07-09 11:58:00-04:00,GOOGL,2507.3701171875,6652
2021-07-09 11:58:00-04:00,MSFT,277.25,80278
2021-07-09 11:59:00-04:00,GOOGL,2507.06005859375,4397
2021-07-09 11:59:00-04:00,MSFT,277.260009765625,37268
2021-07-09 12:00:00-04:00,GOOGL,2508.300048828125,1146
2021-07-09 12:00:00-04:00,MSFT,277.3500061035156,34755
2021-07-09 12:01:00-04:00,GOOGL,2508.235107421875,1507
2021-07-09 12:01:00-04:00,MSFT,277.4800109863281,30299
2021-07-09 12:02:00-04:00,GOOGL,2508.8701171875,2337
2021-07-09 12:02:00-04:00,MSFT,277.510009765625,29451
2021-07-09 12:03:00-04:00,GOOGL,2508.0,2101
2021-07-09 12:03:00-04:00,MSFT,277.4200134277344,32160
2021-07-09 12:04:00-04:00,GOOGL,2509.280029296875,3867
2021-07-09 12:04:00-04:00,MSFT,277.5,24015
2021-07-09 12:05:00-04:00,GOOGL,2509.0,1570
2021-07-09 12:05:00-04:00,MSFT,277.45001220703125,32356
2021-07-09 12:06:00-04:00,GOOGL,2509.06201171875,1131
2021-07-09 12:06:00-04:00,MSFT,277.34100341796875,33417
2021-07-09 12:07:00-04:00,GOOGL,2507.7099609375,3348
2021-07-09 12:07:00-04:00,MSFT,277.2650146484375,21252
2021-07-09 12:08:00-04:00,GOOGL,2508.235107421875,1144
2021-07-09 12:08:00-04:00,MSFT,277.31500244140625,28152
2021-07-09 12:09:00-04:00,GOOGL,2508.0,3115
2021-07-09 12:09:00-04:00,MSFT,277.2919006347656,23556
2021-07-09 12:10:00-04:00,GOOGL,2508.929931640625,202
2021-07-09 12:10:00-04:00,MSFT,277.30999755859375,33354
2021-07-09 12:11:00-04:00,GOOGL,2508.89990234375,961
2021-07-09 12:11:00-04:00,MSFT,277.4049987792969,27094
2021-07-09 12:12:00-04:00,GOOGL,2510.39990234375,4388
2021-07-09 12:12:00-04:00,MSFT,277.3999938964844,25445
2021-07-09 12:13:00-04:00,GOOGL,2509.070068359375,3574
2021-07-09 12:13:00-04:00,MSFT,277.3799133300781,28553
2021-07-09 12:14:00-04:00,MSFT,277.44000244140625,31962
2021-07-09 12:15:00-04:00,GOOGL,2510.010009765625,1211
2021-07-09 12:15:00-04:00,MSFT,277.4100036621094,22558
2021-07-09 12:16:00-04:00,GOOGL,2510.8623046875,1378
2021-07-09 12:16:00-04:00,MSFT,277.3999938964844,24914
2021-07-09 12:17:00-04:00,GOOGL,2510.6298828125,1932
2021-07-09 12:17:00-04:00,MSFT,277.42498779296875,29294
2021-07-09 12:18:00-04:00,GOOGL,2510.7099609375,2180
2021-07-09 12:18:00-04:00,MSFT,277.42498779296875,23803
2021-07-09 12:19:00-04:00,GOOGL,2510.780029296875,435
2021-07-09 12:19:00-04:00,MSFT,277.3999938964844,21257
2021-07-09 12:20:00-04:00,GOOGL,2510.228515625,2037
2021-07-09 12:20:00-04:00,MSFT,277.4049987792969,23830
2021-07-09 12:21:00-04:00,GOOGL,2509.93994140625,1352
2021-07-09 12:21:00-04:00,MSFT,277.3800048828125,27232
2021-07-09 12:22:00-04:00,GOOGL,2508.93505859375,391
2021-07-09 12:22:00-04:00,MSFT,277.3599853515625,24301
2021-07-09 12:23:00-04:00,GOOGL,2510.449951171875,606
2021-07-09 12:23:00-04:00,MSFT,277.3999938964844,23087
2021-07-09 12:24:00-04:00,GOOGL,2509.590087890625,2411
2021-07-09 12:24:00-04:00,MSFT,277.3599853515625,72084
2021-07-09 12:25:00-04:00,GOOGL,2510.639892578125,418
2021-07-09 12:25:00-04:00,MSFT,277.3599853515625,43854
2021-07-09 12:26:00-04:00,GOOGL,2510.5,535
2021-07-09 12:26:00-04:00,MSFT,277.3699951171875,22162
2021-07-09 12:27:00-04:00,GOOGL,2509.502197265625,551
2021-07-09 12:27:00-04:00,MSFT,277.3900146484375,39225
2021-07-09 12:28:00-04:00,GOOGL,2509.93994140625,2244
2021-07-09 12:28:00-04:00,MSFT,277.4599914550781,17948
2021-07-09 12:29:00-04:00,GOOGL,2510.010009765625,1220
2021-07-09 12:29:00-04:00,MSFT,277.4200134277344,17725
2021-07-09 12:30:00-04:00,GOOGL,2509.72998046875,648
2021-07-09 12:30:00-04:00,MSFT,277.5,28075
2021-07-09 12:31:00-04:00,GOOGL,2510.1298828125,936
2021-07-09 12:31:00-04:00,MSFT,277.5400085449219,26888
2021-07-09 12:32:00-04:00,GOOGL,2510.56005859375,1293
2021-07-09 12:32:00-04:00,MSFT,277.4873962402344,25240
2021-07-09 12:33:00-04:00,MSFT,277.5199890136719,29198
2021-07-09 12:34:00-04:00,GOOGL,2510.110107421875,3203
2021-07-09 12:34:00-04:00,MSFT,277.5101013183594,20135
2021-07-09 12:35:00-04:00,GOOGL,2509.735107421875,2323
2021-07-09 12:35:00-04:00,MSFT,277.4100036621094,31305
2021-07-09 12:36:00-04:00,GOOGL,2510.530029296875,860
2021-07-09 12:36:00-04:00,MSFT,277.4849853515625,19654
2021-07-09 12:37:00-04:00,GOOGL,2510.39501953125,2054
2021-07-09 12:37:00-04:00,MSFT,277.4700012207031,32729
2021-07-09 12:38:00-04:00,GOOGL,2509.52490234375,1579
2021-07-09 12:38:00-04:00,MSFT,277.489990234375,29392
2021-07-09 12:39:00-04:00,GOOGL,2510.610107421875,888
2021-07-09 12:39:00-04:00,MSFT,277.44580078125,17942
2021-07-09 12:40:00-04:00,GOOGL,2510.679931640625,162
2021-07-09 12:40:00-04:00,MSFT,277.4689025878906,26585
2021-07-09 12:41:00-04:00,GOOGL,2510.969970703125,2475
2021-07-09 12:41:00-04:00,MSFT,277.4200134277344,17806
2021-07-09 12:42:00-04:00,GOOGL,2511.054931640625,1202
2021-07-09 12:42:00-04:00,MSFT,277.43499755859375,20102
2021-07-09 12:43:00-04:00,GOOGL,2511.31005859375,355
2021-07-09 12:43:00-04:00,MSFT,277.4949951171875,22849
2021-07-09 12:44:00-04:00,GOOGL,2512.6201171875,3180
2021-07-09 12:44:00-04:00,MSFT,277.614013671875,37364
2021-07-09 12:45:00-04:00,GOOGL,2511.909912109375,1442
2021-07-09 12:45:00-04:00,MSFT,277.6300048828125,28301
2021-07-09 12:46:00-04:00,GOOGL,2511.5,749
2021-07-09 12:46:00-04:00,MSFT,277.69000244140625,27401
2021-07-09 12:47:00-04:00,GOOGL,2512.2099609375,1185
2021-07-09 12:47:00-04:00,MSFT,277.8500061035156,40212
2021-07-09 12:48:00-04:00,GOOGL,2512.409912109375,1963
2021-07-09 12:48:00-04:00,MSFT,277.79998779296875,28637
2021-07-09 12:49:00-04:00,GOOGL,2511.264892578125,1614
2021-07-09 12:49:00-04:00,MSFT,277.7300109863281,29473
2021-07-09 12:50:00-04:00,GOOGL,2511.219970703125,344
2021-07-09 12:50:00-04:00,MSFT,277.70001220703125,22843
2021-07-09 12:51:00-04:00,GOOGL,2511.81005859375,749
